Dataset,Model,Parameterization,Shots,HPO,DP,Seed,LR,C,BS,total_steps,sample_rate,noise_multiplier,eps for delta 0.1,eps for delta 0.01,eps for delta 0.001,eps for delta 0.0001,eps for delta 1e-05,eps for delta 1e-06,eps for delta 1e-07,eps for delta 1e-08
CIFAR10,ViT,Head,100,TD,1,0,0.0043799314899037,4.768,808,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0037603566348855,8.031,862,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0013692567967333,9.871,216,160,0.25,12.029296875,0.020749995475881,0.3981242081366516,0.6434611258111926,0.8362588603306021,0.999530968985057,1.143434508982176,1.273448318876794,1.3929052324910218
CIFAR10,ViT,Head,100,TD,1,0,0.0003569467036797,0.482,960,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0022055659591303,0.2,590,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0015339164098499,4.855,419,80,0.5,16.9765625,0.0210885789570778,0.3982503590016234,0.6430651776047588,0.8352127240922762,0.9977640580931308,1.14090083220951,1.270115362522621,1.3887484454371035
CIFAR10,ViT,Head,100,TD,1,0,0.0023149473016511,4.689,315,120,0.3333333333333333,13.875,0.0209252521908325,0.3983055869883783,0.6435250335090131,0.8361520779846527,0.9992234521848782,1.142906337983209,1.2726850922611648,1.3918962405680166
CIFAR10,ViT,Head,100,TD,1,0,0.002754266587671,5.963,1000,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0028198625028353,1.214,748,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0017111034969813,4.267,781,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0019626160913952,1.3,268,120,0.3333333333333333,13.875,0.0209252521908325,0.3983055869883783,0.6435250335090131,0.8361520779846527,0.9992234521848782,1.142906337983209,1.2726850922611648,1.3918962405680166
CIFAR10,ViT,Head,100,TD,1,0,0.0037229156642414,5.36,730,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0027187017969456,0.2,533,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0018183314895742,8.358,220,160,0.25,12.029296875,0.020749995475881,0.3981242081366516,0.6434611258111926,0.8362588603306021,0.999530968985057,1.143434508982176,1.273448318876794,1.3929052324910218
CIFAR10,ViT,Head,100,TD,1,0,0.0032782472556134,1.117,631,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0034968831560605,6.587,860,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0028145448748204,9.892,554,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0052636854922832,1.795,1000,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0007386521809909,9.903,469,80,0.5,16.9765625,0.0210885789570778,0.3982503590016234,0.6430651776047588,0.8352127240922762,0.9977640580931308,1.14090083220951,1.270115362522621,1.3887484454371035
CIFAR10,ViT,Head,100,TD,1,0,0.0026114239423256,9.111,1000,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0003987958400876,5.86,136,280,0.1428571428571428,9.15380859375,0.0194482664951048,0.3954773118772897,0.639971620985801,0.8321729244543113,0.9949968067032636,1.1385527614501387,1.2682927195376652,1.387532590329617
CIFAR10,ViT,Head,100,TD,1,0,0.0031238467763898,4.767,329,120,0.3333333333333333,13.875,0.0209252521908325,0.3983055869883783,0.6435250335090131,0.8361520779846527,0.9992234521848782,1.142906337983209,1.2726850922611648,1.3918962405680166
CIFAR10,ViT,Head,100,TD,1,0,0.0044010870744719,10.0,758,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0018693720172485,3.46,1000,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0022893718426312,8.648,898,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0025420729941134,2.802,408,80,0.5,16.9765625,0.0210885789570778,0.3982503590016234,0.6430651776047588,0.8352127240922762,0.9977640580931308,1.14090083220951,1.270115362522621,1.3887484454371035
CIFAR10,ViT,Head,100,TD,1,0,0.0046686711738659,1.73,629,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0015347525294093,2.006,252,120,0.3333333333333333,13.875,0.0209252521908325,0.3983055869883783,0.6435250335090131,0.8361520779846527,0.9992234521848782,1.142906337983209,1.2726850922611648,1.3918962405680166
CIFAR10,ViT,Head,100,TD,1,0,0.0039895268329524,0.787,1000,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0030916659021457,2.568,359,80,0.5,16.9765625,0.0210885789570778,0.3982503590016234,0.6430651776047588,0.8352127240922762,0.9977640580931308,1.14090083220951,1.270115362522621,1.3887484454371035
CIFAR10,ViT,Head,100,TD,1,0,0.0019624785073437,0.814,478,80,0.5,16.9765625,0.0210885789570778,0.3982503590016234,0.6430651776047588,0.8352127240922762,0.9977640580931308,1.14090083220951,1.270115362522621,1.3887484454371035
CIFAR10,ViT,Head,100,TD,1,0,0.0054719556858691,3.072,989,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0010941233767943,3.128,288,120,0.3333333333333333,13.875,0.0209252521908325,0.3983055869883783,0.6435250335090131,0.8361520779846527,0.9992234521848782,1.142906337983209,1.2726850922611648,1.3918962405680166
CIFAR10,ViT,Head,100,TD,1,0,0.0015692434342184,9.861,409,80,0.5,16.9765625,0.0210885789570778,0.3982503590016234,0.6430651776047588,0.8352127240922762,0.9977640580931308,1.14090083220951,1.270115362522621,1.3887484454371035
CIFAR10,ViT,Head,100,TD,1,0,0.0011225780283353,2.065,468,80,0.5,16.9765625,0.0210885789570778,0.3982503590016234,0.6430651776047588,0.8352127240922762,0.9977640580931308,1.14090083220951,1.270115362522621,1.3887484454371035
CIFAR10,ViT,Head,100,TD,1,0,0.0031165788136541,4.609,462,80,0.5,16.9765625,0.0210885789570778,0.3982503590016234,0.6430651776047588,0.8352127240922762,0.9977640580931308,1.14090083220951,1.270115362522621,1.3887484454371035
CIFAR10,ViT,Head,100,TD,1,0,1e-07,0.622,960,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0008693615789033,1.144,93,400,0.1,7.669921875,0.0193914503074296,0.3954604179768546,0.6400488217854761,0.8323667760998461,0.9953199246902488,1.1390133823108162,1.26889678146601,1.388284321279026
CIFAR10,ViT,Head,100,TD,1,0,0.0025266972471506,10.0,760,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0069191864383519,2.45,535,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0022204047306436,9.7,360,80,0.5,16.9765625,0.0210885789570778,0.3982503590016234,0.6430651776047588,0.8352127240922762,0.9977640580931308,1.14090083220951,1.270115362522621,1.3887484454371035
CIFAR10,ViT,Head,100,TD,1,0,0.0014801662084877,9.071,323,120,0.3333333333333333,13.875,0.0209252521908325,0.3983055869883783,0.6435250335090131,0.8361520779846527,0.9992234521848782,1.142906337983209,1.2726850922611648,1.3918962405680166
CIFAR10,ViT,Head,100,TD,1,0,0.0013627253528727,1.208,604,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0019374552844683,6.638,588,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.005119028634788,6.498,543,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0006508607073221,0.266,720,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0037413402710769,2.041,622,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0016535957380837,7.655,862,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0035378875285558,0.2,492,80,0.5,16.9765625,0.0210885789570778,0.3982503590016234,0.6430651776047588,0.8352127240922762,0.9977640580931308,1.14090083220951,1.270115362522621,1.3887484454371035
CIFAR10,ViT,Head,100,TD,1,0,0.0036504830097788,8.026,599,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0029896776506222,4.774,538,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0007789629071388,3.762,679,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0039502513505912,3.157,632,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0003810945507026,5.685,70,560,0.0714285714285714,6.521240234375,0.0183549839819318,0.3932047066241116,0.63692971266206,0.8285644684995961,0.9909442850311976,1.134139670190561,1.263580383963428,1.3825681543657966
CIFAR10,ViT,Head,100,TD,1,0,0.0004713398015746,3.082,578,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0030050231072815,1.852,208,160,0.25,12.029296875,0.020749995475881,0.3981242081366516,0.6434611258111926,0.8362588603306021,0.999530968985057,1.143434508982176,1.273448318876794,1.3929052324910218
CIFAR10,ViT,Head,100,TD,1,0,0.004220496072704,6.501,750,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.002511127893956,7.269,703,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.004018620701767,1.993,369,80,0.5,16.9765625,0.0210885789570778,0.3982503590016234,0.6430651776047588,0.8352127240922762,0.9977640580931308,1.14090083220951,1.270115362522621,1.3887484454371035
CIFAR10,ViT,Head,100,TD,1,0,0.0031756998019276,7.058,462,80,0.5,16.9765625,0.0210885789570778,0.3982503590016234,0.6430651776047588,0.8352127240922762,0.9977640580931308,1.14090083220951,1.270115362522621,1.3887484454371035
CIFAR10,ViT,Head,100,TD,1,0,0.0025810804998226,5.097,263,120,0.3333333333333333,13.875,0.0209252521908325,0.3983055869883783,0.6435250335090131,0.8361520779846527,0.9992234521848782,1.142906337983209,1.2726850922611648,1.3918962405680166
CIFAR10,ViT,Head,100,TD,1,0,0.0025141472668549,3.474,648,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0006798432976566,6.587,18,2200,0.0181818181818181,3.32806396484375,0.0196131527642561,0.3962265719475655,0.6413769712190556,0.8342532144433206,0.9977596152562248,1.1420020224688456,1.2724308649538938,1.3923608691582876
CIFAR10,ViT,Head,100,TD,1,0,0.0044744259779523,3.057,837,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0006828417406266,6.993,193,200,0.2,10.8154296875,0.0195977406695146,0.3956679659519202,0.6401087861483753,0.832214980371961,0.994919652872887,1.1383405029624556,1.2679338883562576,1.3870184161808097
CIFAR10,ViT,Head,100,TD,1,0,0.002147707976751,6.752,676,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0020933876620172,5.39,643,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0029082527581727,0.582,333,120,0.3333333333333333,13.875,0.0209252521908325,0.3983055869883783,0.6435250335090131,0.8361520779846527,0.9992234521848782,1.142906337983209,1.2726850922611648,1.3918962405680166
CIFAR10,ViT,Head,100,TD,1,0,0.0040573946761491,4.576,1000,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0069332472339179,3.112,979,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0021867847194288,10.0,1000,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0017194929332246,9.791,814,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.00520670190031,2.032,995,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0020813128968646,9.502,674,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0017095197584064,4.435,182,200,0.2,10.8154296875,0.0195977406695146,0.3956679659519202,0.6401087861483753,0.832214980371961,0.994919652872887,1.1383405029624556,1.2679338883562576,1.3870184161808097
CIFAR10,ViT,Head,100,TD,1,0,1e-07,10.0,930,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0006369893285455,1.236,540,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.004072815783915,0.2,456,80,0.5,16.9765625,0.0210885789570778,0.3982503590016234,0.6430651776047588,0.8352127240922762,0.9977640580931308,1.14090083220951,1.270115362522621,1.3887484454371035
CIFAR10,ViT,Head,100,TD,1,0,0.0008948100138859,1.499,927,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0031051828856965,1.312,628,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.003347632616827,7.18,832,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.00073413226238,0.344,67,560,0.0714285714285714,6.521240234375,0.0183549839819318,0.3932047066241116,0.63692971266206,0.8285644684995961,0.9909442850311976,1.134139670190561,1.263580383963428,1.3825681543657966
CIFAR10,ViT,Head,100,TD,1,0,0.0014917146550991,7.739,302,120,0.3333333333333333,13.875,0.0209252521908325,0.3983055869883783,0.6435250335090131,0.8361520779846527,0.9992234521848782,1.142906337983209,1.2726850922611648,1.3918962405680166
CIFAR10,ViT,Head,100,TD,1,0,0.0053370685223366,0.941,1000,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0022260704519469,4.472,891,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
