Dataset,Model,Parameterization,Shots,HPO,DP,Seed,LR,C,BS
CIFAR10,ViT,Head,100,TD,8,0,0.0026723351673499604,0.94,1000
CIFAR10,ViT,Head,100,TD,8,0,0.0019334402401849954,0.469,344
CIFAR10,ViT,Head,100,TD,8,0,0.002185640337096812,0.2,828
CIFAR10,ViT,Head,100,TD,8,0,0.0007785748369465248,7.012,949
CIFAR10,ViT,Head,100,TD,8,0,0.0012697444999667596,9.81,968
CIFAR10,ViT,Head,100,TD,8,0,0.0006707044002815366,6.385,196
CIFAR10,ViT,Head,100,TD,8,0,0.0018080327520562675,7.424,653
CIFAR10,ViT,Head,100,TD,8,0,0.0004343775527284348,2.401,221
CIFAR10,ViT,Head,100,TD,8,0,0.0026215012698280952,0.2,1000
CIFAR10,ViT,Head,100,TD,8,0,0.0006648197647968855,4.279,710
CIFAR10,ViT,Head,100,TD,8,0,0.0009965486756376275,3.877,884
CIFAR10,ViT,Head,100,TD,8,0,0.0014976709744080195,6.092,458
CIFAR10,ViT,Head,100,TD,8,0,0.001384199795045228,2.254,979
CIFAR10,ViT,Head,100,TD,8,0,0.0020890902654403577,4.174,885
CIFAR10,ViT,Head,100,TD,8,0,0.00229164178395644,0.2,107
CIFAR10,ViT,Head,100,TD,8,0,0.0014340095908637284,10.0,675
CIFAR10,ViT,Head,100,TD,8,0,0.0009667699996369559,3.681,266
CIFAR10,ViT,Head,100,TD,8,0,0.002238688396909658,5.254,968
CIFAR10,ViT,Head,100,TD,8,0,0.004015493874769708,4.008,1000
CIFAR10,ViT,Head,100,TD,8,0,0.0007321332907624191,4.335,401
CIFAR10,ViT,Head,100,TD,8,0,0.0021123607975575714,1.764,954
CIFAR10,ViT,Head,100,TD,8,0,0.0009213540760885768,0.2,446
CIFAR10,ViT,Head,100,TD,8,0,0.003069728235700166,5.049,955
CIFAR10,ViT,Head,100,TD,8,0,0.0015192827379649514,7.42,580
CIFAR10,ViT,Head,100,TD,8,0,0.0006386966799528836,2.801,293
CIFAR10,ViT,Head,100,TD,8,0,0.0017546362664534075,0.2,726
CIFAR10,ViT,Head,100,TD,8,0,0.0033753220297749412,4.008,401
CIFAR10,ViT,Head,100,TD,8,0,0.0016991293650940559,4.566,418
CIFAR10,ViT,Head,100,TD,8,0,0.003357561978735651,7.221,1000
CIFAR10,ViT,Head,100,TD,8,0,0.0002648484044020647,6.443,259
CIFAR10,ViT,Head,100,TD,8,0,0.0019520699198636031,3.741,259
CIFAR10,ViT,Head,100,TD,8,0,0.002049943326953279,5.302,737
CIFAR10,ViT,Head,100,TD,8,0,0.002760259802460795,0.264,726
CIFAR10,ViT,Head,100,TD,8,0,0.001955123573608862,0.956,450
CIFAR10,ViT,Head,100,TD,8,0,0.0044957053870384065,0.284,955
CIFAR10,ViT,Head,100,TD,8,0,0.003845014798556795,2.728,996
CIFAR10,ViT,Head,100,TD,8,0,0.0019993705662294217,7.033,994
CIFAR10,ViT,Head,100,TD,8,0,0.0009297744693854083,3.778,973
CIFAR10,ViT,Head,100,TD,8,0,0.002856754611065393,0.635,746
CIFAR10,ViT,Head,100,TD,8,0,0.0022761868364918696,2.155,654
CIFAR10,ViT,Head,100,TD,8,0,0.002928973423986119,1.596,353
CIFAR10,ViT,Head,100,TD,8,0,0.0010847380061033583,6.499,962
CIFAR10,ViT,Head,100,TD,8,0,0.0017736251277855686,8.443,676
CIFAR10,ViT,Head,100,TD,8,0,0.001649815664396164,0.205,1000
CIFAR10,ViT,Head,100,TD,8,0,0.0034699046806251684,8.961,804
CIFAR10,ViT,Head,100,TD,8,0,0.0025529628861207143,4.578,562
CIFAR10,ViT,Head,100,TD,8,0,0.0014600953577210106,8.512,505
CIFAR10,ViT,Head,100,TD,8,0,0.001060088764833235,8.056,387
CIFAR10,ViT,Head,100,TD,8,0,0.0004279515244998835,2.99,457
CIFAR10,ViT,Head,100,TD,8,0,0.0015573684858967755,10.0,1000
CIFAR10,ViT,Head,100,TD,8,0,0.002614856516085846,1.739,705
CIFAR10,ViT,Head,100,TD,8,0,0.0032250087619927455,0.2,955
CIFAR10,ViT,Head,100,TD,8,0,0.0011563949415864822,8.615,849
CIFAR10,ViT,Head,100,TD,8,0,0.0014082486504379285,4.984,342
CIFAR10,ViT,Head,100,TD,8,0,0.0013788350333526884,0.2,589
CIFAR10,ViT,Head,100,TD,8,0,0.0006861266485992956,9.181,136
CIFAR10,ViT,Head,100,TD,8,0,0.0007409467367574897,5.864,1000
CIFAR10,ViT,Head,100,TD,8,0,0.0022852735351082984,1.787,430
CIFAR10,ViT,Head,100,TD,8,1,0.0017022090863534547,0.2,174
CIFAR10,ViT,Head,100,TD,8,1,0.0028353224652050103,2.741,421
CIFAR10,ViT,Head,100,TD,8,1,0.003461452686501206,5.413,785
CIFAR10,ViT,Head,100,TD,8,1,0.0018842277144937923,9.647,961
CIFAR10,ViT,Head,100,TD,8,1,0.0023284393037038384,7.077,307
CIFAR10,ViT,Head,100,TD,8,1,0.0010438275950292722,4.512,820
CIFAR10,ViT,Head,100,TD,8,1,0.0009525983728573684,0.864,421
CIFAR10,ViT,Head,100,TD,8,1,0.0013980817352716743,0.2,1000
CIFAR10,ViT,Head,100,TD,8,1,0.0035316069071466287,8.758,797
CIFAR10,ViT,Head,100,TD,8,1,0.0010874498450825626,8.538,733
CIFAR10,ViT,Head,100,TD,8,1,0.001786855840645753,2.957,1000
CIFAR10,ViT,Head,100,TD,8,1,0.005384245963336939,0.2,441
CIFAR10,ViT,Head,100,TD,8,1,0.003422612030684282,2.368,809
CIFAR10,ViT,Head,100,TD,8,1,0.002065782988058085,3.237,1000
CIFAR10,ViT,Head,100,TD,8,1,0.0007800155946659316,9.422,568
CIFAR10,ViT,Head,100,TD,8,1,0.003731665395876831,1.266,802
CIFAR10,ViT,Head,100,TD,8,1,0.002569758529196041,6.728,989
CIFAR10,ViT,Head,100,TD,8,1,0.0026849082229526335,6.229,647
CIFAR10,ViT,Head,100,TD,8,1,0.0034777990124885425,8.328,471
CIFAR10,ViT,Head,100,TD,8,1,0.000791623181607997,3.639,800
CIFAR10,ViT,Head,100,TD,8,1,0.001379460154234054,5.788,532
CIFAR10,ViT,Head,100,TD,8,1,0.0028486637422814837,7.22,933
CIFAR10,ViT,Head,100,TD,8,1,0.0016035023994213225,5.808,885
