Dataset,Shots,Parameterization,Model,MIA,DP,p,FPR
CIFAR10,100,Head,R50,KL-LiRA,8,0.05860494032088779,0.01
CIFAR10,100,Head,R50,KL-LiRA,8,0.20918644525607066,0.1
CIFAR10,100,Head,R50,ACC-LiRA,1,0.27228654564350674,0.001
CIFAR10,100,Head,R50,ACC-LiRA,1,0.6291403541381436,0.01
CIFAR10,100,Head,R50,ACC-LiRA,1,0.8275187593578203,0.1
CIFAR10,100,Head,R50,WB-LiRA,1,0.0033152201073252774,0.001
CIFAR10,100,Head,R50,WB-LiRA,1,0.02426515157664142,0.01
CIFAR10,100,Head,R50,WB-LiRA,1,0.7872765744326565,0.1
CIFAR10,100,Head,R50,KL-LiRA,1,0.45712547539321347,0.001
CIFAR10,100,Head,R50,KL-LiRA,1,0.4340578180545316,0.01
CIFAR10,100,Head,R50,KL-LiRA,1,0.7616919446111965,0.1
CIFAR100,100,Head,ViT,ACC-LiRA,-1,0.16485222344391712,0.001
CIFAR100,100,Head,ViT,ACC-LiRA,-1,0.36563804628341945,0.01
CIFAR100,100,Head,ViT,ACC-LiRA,-1,0.5603887308161963,0.1
CIFAR100,100,Head,ViT,WB-LiRA,-1,0.6036646731314756,0.001
CIFAR100,100,Head,ViT,WB-LiRA,-1,0.5735043977273752,0.01
CIFAR100,100,Head,ViT,WB-LiRA,-1,0.8794858160630106,0.1
CIFAR100,100,Head,ViT,KL-LiRA,-1,0.6718926701488668,0.001
CIFAR100,100,Head,ViT,KL-LiRA,-1,0.7761898429168439,0.01
CIFAR100,100,Head,ViT,KL-LiRA,-1,0.8967127095481309,0.1
CIFAR100,50,Head,R50,ACC-LiRA,-1,0.4031109565172507,0.001
CIFAR100,50,Head,R50,ACC-LiRA,-1,0.8152959534681512,0.01
CIFAR100,50,Head,R50,ACC-LiRA,-1,0.7102650497926662,0.1
CIFAR100,50,Head,R50,WB-LiRA,-1,0.03707395755067095,0.001
CIFAR100,50,Head,R50,WB-LiRA,-1,0.5955931829446108,0.01
CIFAR100,50,Head,R50,WB-LiRA,-1,0.9552577546051495,0.1
