Model,Dataset,Shots,Parameterization,DP,MIA,FPR,p_value(KS),p_value(Wald),p_value(Welch),mu(ed-td)
R50,CIFAR10,100,Head,-1,ACC-LiRA,0.01,1.0,0.3290288426222107,0.35126038572242246,-0.014166447294285817
R50,CIFAR10,100,Head,-1,ACC-LiRA,0.1,0.8333333333333334,0.3301734520402152,0.35215308561189973,-0.00836841769990565
R50,CIFAR10,100,Head,-1,WB-LiRA,0.001,0.47619047619047616,0.8032274627601863,0.7672678714839724,0.005569681114588554
R50,CIFAR10,100,Head,-1,WB-LiRA,0.01,0.47619047619047616,0.6573113391191123,0.6417701334546222,0.001085056702458509
R50,CIFAR10,100,Head,-1,WB-LiRA,0.1,0.8333333333333334,0.4348298418054716,0.4409273424929313,-0.00048588161970397614
R50,CIFAR10,100,Head,-1,KL-LiRA,0.001,0.47619047619047616,0.23331268166751107,0.26640490041752124,-0.009412596441449775
R50,CIFAR10,100,Head,-1,KL-LiRA,0.01,1.0,0.32389211292990927,0.3422003428722408,-0.001332282044049643
R50,CIFAR10,100,Head,-1,KL-LiRA,0.1,0.8333333333333334,0.525082419737016,0.5224708388904323,0.00021528657213343294
R50,CIFAR10,50,Head,-1,ACC-LiRA,0.001,0.47619047619047616,0.9509535769342833,0.9114354770930473,0.03196140791976727
R50,CIFAR10,50,Head,-1,ACC-LiRA,0.01,0.47619047619047616,0.8040767829620796,0.767567445532038,0.012506869233302548
R50,CIFAR10,50,Head,-1,ACC-LiRA,0.1,0.47619047619047616,0.9182423841573115,0.8779381538968261,0.01289255682765178
R50,CIFAR10,50,Head,-1,WB-LiRA,0.001,0.17857142857142855,0.9192205438274035,0.8787366940508996,0.010346096704201224
R50,CIFAR10,50,Head,-1,WB-LiRA,0.01,0.47619047619047616,0.7399954675232912,0.7125357388536682,0.004050038736558292
R50,CIFAR10,50,Head,-1,WB-LiRA,0.1,0.47619047619047616,0.6994835001468461,0.6798722459436133,0.002418325833216106
R50,CIFAR10,50,Head,-1,KL-LiRA,0.001,0.17857142857142855,0.9925852018050341,0.9703600686140859,0.017049935091204588
R50,CIFAR10,50,Head,-1,KL-LiRA,0.01,0.47619047619047616,0.8124844605857722,0.7783565574899668,0.005417547196166161
R50,CIFAR10,50,Head,-1,KL-LiRA,0.1,0.8333333333333334,0.7094791232300045,0.6894004699839105,0.0024680065325015654
R50,CIFAR10,100,Head,8,ACC-LiRA,0.001,0.8333333333333334,0.4289073085448215,0.4344225329868091,-4.4970842013780394e-05
R50,CIFAR10,100,Head,8,ACC-LiRA,0.01,0.47619047619047616,0.7716951465137971,0.7466177331877946,0.0006594546650746796
R50,CIFAR10,100,Head,8,ACC-LiRA,0.1,0.8333333333333334,0.24220824338840996,0.2574891463448555,-0.0011551278399592746
R50,CIFAR10,100,Head,8,WB-LiRA,0.001,0.8333333333333334,0.2611957386544961,0.27401125735350434,-0.00017371650215232057
R50,CIFAR10,100,Head,8,WB-LiRA,0.01,1.0,0.04941328554493081,0.05047196998978163,-0.000812634150713254
R50,CIFAR10,100,Head,8,WB-LiRA,0.1,0.8333333333333334,0.23547177533847152,0.25066384605085423,-0.0012483560981137731
R50,CIFAR10,100,Head,8,KL-LiRA,0.001,0.47619047619047616,0.7727581429246191,0.7725322812208151,0.00013023797393123954
R50,CIFAR10,100,Head,8,KL-LiRA,0.01,0.17857142857142855,0.9860064769126654,0.970697529839556,0.0012951776333415856
R50,CIFAR10,100,Head,8,KL-LiRA,0.1,0.17857142857142855,0.9249458295290184,0.8954067773719647,0.002917367648800434
R50,CIFAR10,100,Head,1,ACC-LiRA,0.001,1.0,0.1484674940838432,0.13614327282175337,-0.00010239526615585985
R50,CIFAR10,100,Head,1,ACC-LiRA,0.01,0.8333333333333334,0.31142168546536547,0.3145701770690718,-0.00019225439878655867
R50,CIFAR10,100,Head,1,ACC-LiRA,0.1,0.8333333333333334,0.5930391774050027,0.5862406203210899,0.0003646938544757117
R50,CIFAR10,100,Head,1,WB-LiRA,0.001,1.0,0.0014398370960092446,0.0016576100536626387,-0.00023575466281725976
R50,CIFAR10,100,Head,1,WB-LiRA,0.01,1.0,0.014673986423133152,0.01213257578832071,-0.0005848581826050601
R50,CIFAR10,100,Head,1,WB-LiRA,0.1,0.8333333333333334,0.4204573814614887,0.39363828721632826,-0.00014603860496720245
R50,CIFAR10,100,Head,1,KL-LiRA,0.001,0.47619047619047616,0.7493083767120186,0.7714372623033933,6.360750015886032e-05
R50,CIFAR10,100,Head,1,KL-LiRA,0.01,0.8333333333333334,0.20482424511202968,0.2170289090272658,-0.0003505768910735795
R50,CIFAR10,100,Head,1,KL-LiRA,0.1,0.47619047619047616,0.6151782206648366,0.6191540276944018,0.0002959621387289141
ViT,CIFAR100,100,Head,-1,ACC-LiRA,0.001,1.0,0.04737558290148372,0.08242611172195856,-0.0004092935950579194
ViT,CIFAR100,100,Head,-1,ACC-LiRA,0.01,0.47619047619047616,0.14282132448381774,0.18281902314170972,-0.0012705083520518773
