Dataset,Model,Parameterization,Shots,HPO,MIA,DP,Seed,N,TPR@FPR=0.001,TPR@FPR=0.00316,TPR@FPR=0.01,TPR@FPR=0.03162,TPR@FPR=0.1,TPR@FPR=0.31623,TPR@FPR=1.0,Classes
CIFAR10,ViT,Head,100,ED,WB-LiRA,-1,0,129,0.0785116279069767,0.1005503875968992,0.1318062015503876,0.1866744186046511,0.2972868217054263,0.5406589147286822,1.0,10
CIFAR10,ViT,Head,100,ED,ACC-LiRA,-1,1,129,0.0081681094666294,0.022425455335257,0.0490241707778708,0.0945033975612026,0.1882698811629278,0.4185593719941667,1.0,10
CIFAR10,ViT,Head,100,ED,KL-LiRA,-1,1,129,0.0715582239597877,0.0960392813925346,0.1310310589841447,0.1880914704148437,0.3037326631294796,0.5513279965248689,1.0,10
CIFAR10,ViT,Head,100,ED,WB-LiRA,-1,1,129,0.0821154860529336,0.1027956188525861,0.1366471190542679,0.1948710788420366,0.3073939619597257,0.5554236867417544,1.0,10
CIFAR10,ViT,Head,100,ED,ACC-LiRA,-1,2,129,0.016107268046034,0.0302525048856903,0.0543862642305425,0.0961705493687377,0.1878819369047988,0.4168967335670193,1.0,10
CIFAR10,ViT,Head,100,ED,KL-LiRA,-1,2,129,0.0710131215683841,0.0946195365573719,0.1267099916245308,0.1835468560970313,0.2950801873623476,0.5420867326364116,1.0,10
CIFAR10,ViT,Head,100,ED,WB-LiRA,-1,2,129,0.0772637031981884,0.0999162453081862,0.1331622049198126,0.1897896826627788,0.3013540341843224,0.5493144523373763,1.0,10
CIFAR10,ViT,Head,100,ED,ACC-LiRA,-1,3,129,0.0092046185937948,0.0236978217545383,0.0475895065797126,0.0927363384694122,0.1842397078095799,0.4138743922392736,1.0,10
CIFAR10,ViT,Head,100,ED,KL-LiRA,-1,3,129,0.0530719542172972,0.0842994176353358,0.1196212691052056,0.178733996603519,0.2902905619702691,0.5373108865745946,1.0,10
CIFAR10,ViT,Head,100,ED,WB-LiRA,-1,3,129,0.0786386159727661,0.0994207371449397,0.1311522445466318,0.1872096900517226,0.2973239141729413,0.5427080344610994,1.0,10
CIFAR10,ViT,Head,100,ED,ACC-LiRA,-1,10,129,0.0170757820258192,0.0328869786494538,0.0584191906653426,0.1033391261171797,0.1951650943396226,0.4225189299900695,1.0,10
CIFAR10,ViT,Head,100,ED,KL-LiRA,-1,10,129,0.0774965863952333,0.0990100546176762,0.129709222939424,0.1842881082423038,0.2947182224428997,0.5398305610724925,1.0,10
CIFAR10,ViT,Head,100,ED,WB-LiRA,-1,10,129,0.0818489324726911,0.1034011916583912,0.135970084409136,0.1890283639523336,0.2988610973187686,0.5442837636544191,1.0,10
CIFAR10,ViT,Head,100,ED,ACC-LiRA,8,0,129,0.0016046511627906,0.004829457364341,0.0165891472868217,0.0546666666666666,0.151015503875969,0.3855193798449612,1.0,10
CIFAR10,ViT,Head,100,ED,KL-LiRA,8,0,129,0.0027364341085271,0.0085348837209302,0.0266279069767441,0.0751782945736434,0.1876124031007752,0.4460852713178294,1.0,10
CIFAR10,ViT,Head,100,ED,WB-LiRA,8,0,129,0.0060697674418604,0.0142248062015503,0.0352170542635658,0.0836356589147286,0.1950232558139535,0.4597596899224806,1.0,10
CIFAR10,ViT,Head,100,ED,ACC-LiRA,8,1,129,0.0012643892146824,0.0046541934282788,0.015343324335226,0.0524450029476558,0.1539296906512768,0.3946756027180489,1.0,10
CIFAR10,ViT,Head,100,ED,KL-LiRA,8,1,129,0.0035139160383505,0.0092463309441807,0.0281113283068044,0.0756771851438145,0.1864702597039933,0.4464922895528871,1.0,10
CIFAR10,ViT,Head,100,ED,WB-LiRA,8,1,129,0.0052204536287194,0.0132334233144062,0.033634304508362,0.0820999720748394,0.1942272487511247,0.4598653386701418,1.0,10
CIFAR10,ViT,Head,100,ED,ACC-LiRA,8,2,129,0.0018922356298663,0.0061730309892359,0.0189766417470608,0.0573021683159102,0.1534959828768185,0.3894205416136737,1.0,10
CIFAR10,ViT,Head,100,ED,KL-LiRA,8,2,129,0.0021403976796848,0.0071424139963396,0.0238313118466358,0.0690588454260632,0.1809799298942209,0.4435508887303409,1.0,10
CIFAR10,ViT,Head,100,ED,WB-LiRA,8,2,129,0.005079566957223,0.0138738095976672,0.0333933058287061,0.0837779570059248,0.1969553618512889,0.4584561218475664,1.0,10
CIFAR10,ViT,Head,100,ED,ACC-LiRA,8,3,129,0.0017059950215963,0.0057073287995223,0.0180602836604449,0.0553595384508014,0.1546639577533596,0.3938677233496437,1.0,10
CIFAR10,ViT,Head,100,ED,KL-LiRA,8,3,129,0.0010468605814341,0.00717293361353,0.0247679459044487,0.071023674558186,0.1798196297990803,0.4375722139938119,1.0,10
CIFAR10,ViT,Head,100,ED,WB-LiRA,8,3,129,0.0049861581767565,0.0125855905456857,0.0321269880657893,0.0795458951433423,0.1897764371069426,0.4538024302674535,1.0,10
CIFAR10,ViT,Head,100,ED,ACC-LiRA,8,10,129,0.0013732000993048,0.0054695258192651,0.0177119538232373,0.0550909260178748,0.1512149329692154,0.3883751241310824,1.0,10
CIFAR10,ViT,Head,100,ED,KL-LiRA,8,10,129,0.0025602035749751,0.0083710898709036,0.0252141261171797,0.0709098808341608,0.1787565168818272,0.4332174776564051,1.0,10
CIFAR10,ViT,Head,100,ED,WB-LiRA,8,10,129,0.0053531529294935,0.0130415218470705,0.0327085402184707,0.0798861097318768,0.1896179865938431,0.4550024826216484,1.0,10
CIFAR10,ViT,Head,100,ED,ACC-LiRA,1,0,129,0.0011007751937984,0.0036976744186046,0.0113875968992248,0.0367829457364341,0.1127209302325581,0.338031007751938,1.0,10
CIFAR10,ViT,Head,100,ED,KL-LiRA,1,0,129,0.0010465116279069,0.0039457364341085,0.0122868217054263,0.03784496124031,0.1144961240310077,0.3467441860465116,1.0,10
CIFAR10,ViT,Head,100,ED,WB-LiRA,1,0,129,0.0013023255813953,0.0036356589147286,0.0127596899224806,0.039,0.1163565891472868,0.3452093023255814,1.0,10
CIFAR10,ViT,Head,100,ED,ACC-LiRA,1,1,129,0.0011402773899283,0.0038319525892829,0.0112553911073877,0.0363027087405752,0.1116308293772689,0.3381814514877905,1.0,10
CIFAR10,ViT,Head,100,ED,KL-LiRA,1,1,129,0.0013962580284836,0.003661298830246,0.0117208104502156,0.0364500915324707,0.115121474448478,0.3469080641658134,1.0,10
CIFAR10,ViT,Head,100,ED,WB-LiRA,1,1,129,0.001124763411834,0.0037698966769058,0.0116665115268857,0.0360777560582084,0.1145629712370846,0.3488162834714077,1.0,10
CIFAR10,ViT,Head,100,ED,ACC-LiRA,1,2,129,0.0013881564661724,0.0036448801067096,0.0114619846759934,0.0357430902379253,0.1095790551229953,0.3343440766820734,1.0,10
CIFAR10,ViT,Head,100,ED,KL-LiRA,1,2,129,0.0011555045444675,0.003900797220585,0.0123227967863014,0.0383720569531904,0.1156124949592083,0.3453950429630549,1.0,10
CIFAR10,ViT,Head,100,ED,WB-LiRA,1,2,129,0.0010469336476719,0.0036138598504823,0.0123460619784719,0.038527158234327,0.1172565685392561,0.3511105251729379,1.0,10
CIFAR10,ViT,Head,100,ED,ACC-LiRA,1,3,129,0.0013803050629279,0.0036058531138286,0.0113758849849174,0.0351512519677101,0.1090828725854354,0.3348635591708864,1.0,10
CIFAR10,ViT,Head,100,ED,KL-LiRA,1,3,129,0.0009693153531797,0.0037144164333847,0.0116472932838077,0.0366944020099723,0.1133478601394263,0.3433547616647409,1.0,10
CIFAR10,ViT,Head,100,ED,WB-LiRA,1,3,129,0.0012174600835937,0.0039470521181479,0.0124382546120024,0.0382918337120125,0.1163023333359181,0.3456966275580232,1.0,10
CIFAR10,ViT,Head,100,ED,ACC-LiRA,1,10,129,0.0012956181727904,0.0037859980139026,0.0125837884806355,0.0373944885799404,0.1126101663356504,0.3364805734856008,1.0,10
CIFAR10,ViT,Head,100,ED,KL-LiRA,1,10,129,0.0013188927507447,0.0041428748758689,0.0128242924528301,0.0371772591857001,0.1143867924528301,0.3452861221449851,1.0,10
CIFAR10,ViT,Head,100,ED,WB-LiRA,1,10,129,0.0011404543197616,0.0037316906653426,0.0115829816285998,0.0375186196623634,0.1164039225422045,0.3484126737835153,1.0,10
CIFAR10,ViT,Head,50,TD,ACC-LiRA,-1,0,129,0.0179325387551608,0.0310508685830022,0.0607151203552231,0.113811638233232,0.2247098231674067,0.4683493027966036,1.0,10
CIFAR10,ViT,Head,50,TD,KL-LiRA,-1,0,129,0.1063176754693464,0.1388330606839604,0.1940951935810547,0.2786164991820519,0.4253797616265483,0.6914232297265717,1.0,10
CIFAR10,ViT,Head,50,TD,WB-LiRA,-1,0,129,0.1167250915322894,0.1559398613383189,0.2081794811871932,0.2941964633481343,0.4408506660434681,0.7055230972968762,1.0,10
CIFAR10,ViT,Head,50,TD,ACC-LiRA,-1,1,129,0.0195488487380547,0.0382558810232746,0.0689510031646063,0.1224531155003351,0.230548583721764,0.4744571063338893,1.0,10
CIFAR10,ViT,Head,50,TD,KL-LiRA,-1,1,129,0.0310224952063229,0.073440690913059,0.1476608415046689,0.240821862285064,0.3955913760581165,0.6703820911344256,1.0,10
CIFAR10,ViT,Head,50,TD,WB-LiRA,-1,1,129,0.1027795532137122,0.1376525792320763,0.1883954043057352,0.2716728763621058,0.4198325720610473,0.6826663756683867,1.0,10
CIFAR10,ViT,Head,50,TD,ACC-LiRA,-1,2,129,0.0162509153799411,0.0323771832785403,0.0629625590127919,0.115579377074212,0.2187095869494087,0.4635639831102662,1.0,10
CIFAR10,ViT,Head,50,TD,KL-LiRA,-1,2,129,0.0961655318552219,0.1247721288231719,0.1753634253127872,0.2595627989591935,0.4120689923809227,0.6812608092737726,1.0,10
CIFAR10,ViT,Head,50,TD,WB-LiRA,-1,2,129,0.1024758105981521,0.1327963104345522,0.182904597933968,0.2711705956591514,0.4216356865739081,0.6937255574079556,1.0,10
CIFAR10,ViT,Head,50,TD,ACC-LiRA,-1,3,129,0.012492406423776,0.0245175158491565,0.0527889842520911,0.1039268524431844,0.2165454290565273,0.4607859935513014,1.0,10
CIFAR10,ViT,Head,50,TD,KL-LiRA,-1,3,129,0.1025872677144503,0.1328213835106466,0.1843953955669091,0.2666708204177635,0.4148818517422389,0.6801196280315893,1.0,10
CIFAR10,ViT,Head,50,TD,WB-LiRA,-1,3,129,0.105640274770635,0.1418090624464555,0.1950030374304895,0.2779638312123241,0.4236981884453029,0.6841228056511783,1.0,10
CIFAR10,ViT,Head,50,TD,ACC-LiRA,-1,10,129,0.0177367363782176,0.0354734727564352,0.0664621517666661,0.1217901801703598,0.2298301072924615,0.4760265973184671,1.0,10
CIFAR10,ViT,Head,50,TD,KL-LiRA,-1,10,129,0.0968902315586215,0.1297942912312939,0.1760904433405484,0.2525499478331283,0.3967952411355248,0.6690440226108352,1.0,10
CIFAR10,ViT,Head,50,TD,WB-LiRA,-1,10,129,0.1104847626018032,0.138468006914057,0.1868975504928601,0.2627808835666568,0.4083186695111886,0.6751950418113584,1.0,10
CIFAR10,ViT,Head,50,TD,ACC-LiRA,8,0,129,0.0021656150190854,0.0071200436238996,0.0212978110150346,0.0657474487808678,0.1847316351172392,0.4461634338241022,1.0,10
CIFAR10,ViT,Head,50,TD,KL-LiRA,8,0,129,0.0029446132273895,0.0095037781413102,0.0275921165381319,0.077323362156267,0.2051569681389732,0.4941029835631378,1.0,10
CIFAR10,ViT,Head,50,TD,WB-LiRA,8,0,129,0.0067149645555815,0.0169198410843655,0.0406637064734751,0.0965178780088805,0.2251772220923892,0.5186258471605515,1.0,10
CIFAR10,ViT,Head,50,TD,ACC-LiRA,8,1,129,0.001933060002806,0.0059083043634152,0.018847335027359,0.0619826336383618,0.1786677475174209,0.4471448391974683,1.0,10
CIFAR10,ViT,Head,50,TD,KL-LiRA,8,1,129,0.0021513087128002,0.0076698832369401,0.0288711864935226,0.0780395030165089,0.2039845978767518,0.4914805057134394,1.0,10
CIFAR10,ViT,Head,50,TD,WB-LiRA,8,1,129,0.0054873961369978,0.0149500366346048,0.0396589084446661,0.0971986219152883,0.2256223985533228,0.5169688372020516,1.0,10
CIFAR10,ViT,Head,50,TD,ACC-LiRA,8,2,129,0.0020722643773079,0.0073853632695034,0.0210186815412661,0.0633365014568174,0.1787756501145198,0.4587962169489413,1.0,10
CIFAR10,ViT,Head,50,TD,KL-LiRA,8,2,129,0.0048300899019959,0.0124335862638475,0.0327199638522304,0.0856795624873404,0.2129602218725168,0.5005687041336221,1.0,10
CIFAR10,ViT,Head,50,TD,WB-LiRA,8,2,129,0.0071672301771552,0.0169676383976566,0.0416945825088421,0.0986740624172262,0.2282295383368909,0.5185179414468456,1.0,10
CIFAR10,ViT,Head,50,TD,ACC-LiRA,8,3,129,0.0023209084253648,0.0063396626115671,0.0212775899936136,0.0674465334351002,0.182058910574931,0.4416268166170812,1.0,10
CIFAR10,ViT,Head,50,TD,KL-LiRA,8,3,129,0.003582610321033,0.0095640119004968,0.027726288571473,0.0802037414913004,0.2110001713422327,0.4941821523699746,1.0,10
CIFAR10,ViT,Head,50,TD,WB-LiRA,8,3,129,0.0058100593467187,0.0150469633483387,0.0397513979968535,0.0949391735073755,0.225174846960233,0.5205532796461004,1.0,10
CIFAR10,ViT,Head,50,TD,ACC-LiRA,8,10,129,0.002289113474625,0.0079885388604263,0.0238410389772178,0.0654032421321457,0.1826774841552859,0.4516872479250043,1.0,10
CIFAR10,ViT,Head,50,TD,KL-LiRA,8,10,129,0.0050609651649874,0.0119127333883551,0.0316738558325677,0.0882476602768737,0.2174346356883691,0.5033402370088917,1.0,10
CIFAR10,ViT,Head,50,TD,WB-LiRA,8,10,129,0.0059018639924007,0.0146222962766868,0.0402074217107619,0.0966410763504991,0.2292383636731706,0.5311054705140383,1.0,10
CIFAR10,ViT,Head,50,TD,ACC-LiRA,2,0,129,0.0016670561657708,0.0043779699306691,0.0136636285736542,0.0427981615642284,0.1307937991742619,0.3777050712783361,1.0,10
CIFAR10,ViT,Head,50,TD,KL-LiRA,2,0,129,0.0021188751265872,0.0057022668847861,0.0160629430552309,0.0507283633247643,0.1440990885720962,0.3997351406091766,1.0,10
CIFAR10,ViT,Head,50,TD,WB-LiRA,2,0,129,0.0015891563449404,0.0051258082106411,0.0163122224818882,0.0491080470514917,0.1419023136246786,0.4023837345174106,1.0,10
CIFAR10,ViT,Head,50,TD,ACC-LiRA,2,1,129,0.0014965625828175,0.0046144012970209,0.0146226635696135,0.0426520336103013,0.1266621977645096,0.3737976834458353,1.0,10
CIFAR10,ViT,Head,50,TD,KL-LiRA,2,1,129,0.0022604330677974,0.0063915693641167,0.0157762638938687,0.049916597814395,0.1432490997240712,0.3985065552558966,1.0,10
CIFAR10,ViT,Head,50,TD,WB-LiRA,2,1,129,0.0020265951642321,0.005736823234134,0.0177560914773878,0.0492930300715543,0.1437947214990568,0.4001590097744243,1.0,10
CIFAR10,ViT,Head,50,TD,ACC-LiRA,2,2,129,0.0013087985540892,0.0038952337919321,0.0130256618002212,0.042333400850719,0.1280908680138981,0.3752668235147473,1.0,10
CIFAR10,ViT,Head,50,TD,KL-LiRA,2,2,129,0.0012464748134183,0.0045652140041445,0.0152693164643741,0.0463377011888253,0.139013103566476,0.3935120985961577,1.0,10
